Año,mes,fecha,precio_promedio,precio_predicho_m1,precio_predicho_m2,precio_predicho_m3,precio_predicho_m4,precio_predicho_m5
2019,Febrero,2019-02-01,798.4447784423828,1084.279124359233,1069.172384863207,869.1555798036136,597.5212089309653,699.1289684194373
2019,Marzo,2019-03-01,871.4064737955729,1131.1950167249215,1067.2526317059612,863.2792100167464,565.4434694541333,717.5689252899638
2019,Abril,2019-04-01,1136.4999389648438,1077.538344400375,1095.7105568208967,954.3858956913916,1175.627740083928,1047.3963894714411
2019,Mayo,2019-05-01,1056.201806640625,1177.0641186663197,1062.56404756995,1114.885994595832,874.9104102135748,994.0292624663739
2019,Junio,2019-06-01,1109.6309051513672,1148.6038556911274,1094.240716161368,1066.2506564983855,902.3261120344714,976.4803661370261
2019,Julio,2019-07-01,995.9086303710938,1198.430098108249,1104.377374593794,1086.2579544620867,1172.8530564127627,1170.141888234698
2019,Agosto,2019-08-01,843.3704962226562,1251.1957482289902,1077.536768113539,952.0482193142589,1005.0828043895926,1025.0121525158206
2019,Septiembre,2019-09-01,809.0946502685547,1182.869486158038,1109.77612124282,861.5438932666059,709.468773310537,775.6212493908378
2019,Octubre,2019-10-01,855.9904632568359,1198.8304137354803,1110.2737255989553,820.4878637895429,746.9690063920152,784.8238807756693
2019,Noviembre,2019-11-01,813.222216796875,1210.1546329590678,1096.0500704131784,845.0631721723397,775.2111567523848,820.1743410879769
2019,Diciembre,2019-12-01,619.2781219482422,1145.9735628872459,1112.4426232073433,839.7571164216392,825.6466222734816,796.2747215691563
2020,Enero,2020-01-01,630.8554840087891,1153.0113506998782,1095.6961258704107,721.3932278052054,789.856057070072,676.6505167909119
2020,Febrero,2020-02-01,604.4753295898438,1127.043368038799,1122.3998254036123,747.2582168815335,851.3424952369969,723.5738397496038
2020,Marzo,2020-03-01,787.8590698242188,1139.4119561280118,1143.5589513230702,721.3420176728234,777.8264713112144,698.5700504504289
2020,Abril,2020-04-01,758.4833679199219,1094.6372623334912,1184.8231302692252,905.4109243296514,685.8950565732453,752.4661291301181
2020,Mayo,2020-05-01,989.17255859375,1059.433797632225,1187.3338713940273,893.1836721004277,841.9936738271358,788.2731815388108
2020,Junio,2020-06-01,1081.9687957763672,1091.2563800493263,1152.3174097437798,1055.9313889567427,787.657452919791,893.4549099179706
2020,Julio,2020-07-01,896.6017150878906,1146.8710424353337,1095.832630999368,1084.3934328364026,601.2585481627966,846.1222196751221
2020,Agosto,2020-08-01,725.537939453125,1100.3385154167167,1109.9358756462334,950.048082255352,628.0243645618648,739.7758186575124
2020,Septiembre,2020-09-01,646.5885467529297,1140.7775449096798,1080.958259477744,772.6756326131022,612.3312250875056,637.6565293745487
2020,Octubre,2020-10-01,534.29990234375,1126.4695298178838,1075.461189170939,706.2765542594268,576.2663656184664,560.7480502778246
2020,Noviembre,2020-11-01,483.9154586791992,1129.9625970871248,1085.0265342447121,608.4219000911612,417.92737358539443,429.3778779534606
2020,Diciembre,2020-12-01,479.8976287841797,1110.7216737405452,1108.0880208350268,577.7870655579861,491.20146413316434,496.05313319896686
2021,Enero,2021-01-01,616.3035888671875,1044.9506442095735,1152.1388474118519,673.4846976192814,863.2748507415349,649.7822424748397
2021,Febrero,2021-02-01,814.5052032470703,1108.4699045587895,1113.560190344186,740.8283780608406,845.4317069124477,771.2448051589794
2021,Marzo,2021-03-01,1198.7131652832031,1158.915182953936,1068.5226723206704,864.1862520621346,965.4785273058174,915.2124155943109
2021,Abril,2021-04-01,1197.8577270507812,1122.449435618665,1086.1874505883031,1205.5614814511819,1066.7947848162862,1147.4557796744098
2021,Mayo,2021-05-01,1295.604024251302,1142.9171288109665,1189.1752872069308,1224.2797094250377,1054.338874260231,1272.7827092783637
2021,Junio,2021-06-01,831.8810424804688,1183.4409036499724,1150.6389194245646,1269.9121557771318,638.3901462158724,1042.536691153293
2021,Julio,2021-07-01,842.6524780273437,1186.540918900364,1175.3713276814328,881.5199560584134,1538.4775290970097,1190.9479958169168
2021,Agosto,2021-08-01,679.4407653808594,1162.2670092598103,1220.55445684203,911.9995962467016,1570.3579074480572,1275.0165190286293
2021,Septiembre,2021-09-01,772.7275085449219,1193.163057478996,1224.8482991215546,756.6813677707928,1534.017503958255,1133.7483293884493
2021,Octubre,2021-10-01,899.1229248046875,1230.3374255291885,1235.6280034375452,816.3844771637996,1393.2664107008382,1052.5102992375591
2021,Noviembre,2021-11-01,1070.8812408447266,1228.5957349810674,1268.418830190898,929.4865682798783,1488.0067671614102,1166.1726965783396
2021,Diciembre,2021-12-01,1491.8671875,1236.8046033846617,1303.0005377542213,1076.6742651562768,1521.3976420401627,1252.6815969628583
2022,Enero,2022-01-01,2084.7070068359376,1153.2809174586368,1395.5723052950702,1554.3270191020888,2188.016583935529,1976.1597132765821
2022,Febrero,2022-02-01,2577.6156005859375,1147.928325059439,1466.048430997695,2074.0395787091206,2270.369590642245,2305.128382563446
2022,Marzo,2022-03-01,2431.2433471679688,1163.7213781723526,1500.8551345684982,2487.974316247652,2145.422603781245,2578.9820189562006
2022,Abril,2022-04-01,2104.3329833984376,1159.6157328294871,1518.9123034137422,2367.8081376862974,1894.6975211757608,2214.489652825701
2022,Mayo,2022-05-01,1078.2254486083984,1240.3937141942931,1389.902134000083,2007.3808604947362,1228.099554136992,1565.611272511756
2022,Junio,2022-06-01,927.2468872070312,1269.1929531720089,1418.436727728016,1134.9384705108218,1110.0653657568364,940.1975835602775
2022,Julio,2022-07-01,852.892822265625,1274.0411173995276,1435.6959376444433,1006.4259250736866,1182.5738693928452,933.7320493129964
2022,Agosto,2022-08-01,785.1242065429688,1253.7687382120007,1464.2868136502377,957.928073620354,1202.9923260333635,918.6313440640895
2022,Septiembre,2022-09-01,938.0168151855469,1260.4183176612787,1482.5564993007854,898.9202444590493,1182.7767436713943,899.5221198601257
2022,Octubre,2022-10-01,1282.64501953125,1249.3338023422887,1495.659204398783,1032.2218794422288,1363.4024033697538,1082.4408538272519
2022,Noviembre,2022-11-01,1632.2319030761719,1264.5554383429212,1490.0082382846783,1308.3218223226158,1511.1129231515429,1370.3087775104327
2022,Diciembre,2022-12-01,1776.8600463867188,1311.1008787009794,1483.799177566745,1573.691367412016,1236.4907375663224,1490.9800497944393
2023,Enero,2023-01-01,1890.910791015625,1226.5651065129919,1488.9145677407723,1790.4579594192583,1600.785745044166,1868.7289297160964
2023,Febrero,2023-02-01,1606.603515625,1236.933736449782,1442.9142417404762,1861.5206111049852,1325.2650448860077,1643.8937817587596
2023,Marzo,2023-03-01,1420.7467041015625,1273.117004334459,1379.3947837509568,1579.47618533764,1109.9144698909195,1494.7292145296278
2023,Abril,2023-04-01,1190.0830078125,1181.9017904083153,1352.8847128549112,1452.3333188715537,1302.662674900008,1408.765996788828
2023,Mayo,2023-05-01,1399.0231323242188,1204.9077690335755,1285.5863313096909,1220.3749673524649,1233.8465886731756,1094.5968909319258
2023,Junio,2023-06-01,1107.4383544921875,1252.1941133300597,1236.9096735677408,1353.0542321264393,995.5565467141687,1238.0769342976405
2023,Julio,2023-07-01,925.6201171875,1210.9673691191028,1233.83232778004,1121.1763228300738,937.7543985905559,954.3055256013681
2023,Agosto,2023-08-01,1095.0416564941406,1227.975086069687,1209.955142826697,947.4453101354414,981.1914484234339,878.1850240797216
2023,Septiembre,2023-09-01,1230.1700744628906,1185.8218060663362,1209.3213928913203,1104.728607306598,1086.4988111540388,1047.1915278433262
2023,Octubre,2023-10-01,1636.3641357421875,1227.1712277698448,1168.1843750703558,1180.5719302090536,1284.6964326025727,1315.4521084758912
2023,Noviembre,2023-11-01,1631.4696044921875,1248.3935472530468,1115.8700905624144,1490.2823948132,1114.8941882715899,1393.192999418051
2023,Diciembre,2023-12-01,1495.5137939453125,1262.6361890235776,1043.6119459508575,1450.7845759992433,933.7259358979609,1242.0931122879094
2024,Enero,2024-01-01,1479.1990966796875,1241.0038705074812,1012.0469789481676,1389.8052971092543,1310.7983975722618,1388.3249869126062
2024,Febrero,2024-02-01,1336.898681640625,1212.6307724741641,1003.17146135704,1381.6071315443016,1348.900975332709,1395.210269858906
2024,Marzo,2024-03-01,1480.2642822265625,1168.8560574212372,1019.6768382082423,1282.996463307536,1451.0130412771023,1373.260820263162
2024,Abril,2024-04-01,1771.5041809082031,1193.4374672411243,1033.908912510208,1391.894146717535,1579.5935681292704,1484.0135014361865
2024,Mayo,2024-05-01,2360.2430419921875,1148.3915920986724,1082.9928637779567,1669.424228851156,1989.0272882275503,1971.0526699433099
2024,Junio,2024-06-01,2380.166015625,1098.5379073566978,1123.104539191581,2196.592156198715,2035.8761362209289,2304.20284296173
2024,Julio,2024-07-01,2650.7274780273438,1183.2326747902111,1084.6968768142203,2156.0254463989654,2066.5128379186644,2334.0521732886323
2024,Agosto,2024-08-01,1942.1493530273438,1164.7654239760946,1054.945203706608,2377.6902048965403,1776.6184752392219,2311.006931676608
2024,Septiembre,2024-09-01,1520.66162109375,1171.8608372385602,1038.5778406814795,1767.8414198433534,1532.7209548997553,1744.2064708798744
2024,Octubre,2024-10-01,1239.6697998046875,1224.2495788076947,995.0944147563644,1369.3512317673278,1309.5751004159083,1362.5170597534757
2024,Noviembre,2024-11-01,1221.1394348144531,1226.9726855455426,1005.8173398933727,1130.2819799539775,1304.2461843818537,1197.6418782830478
2024,Diciembre,2024-12-01,1195.6503601074219,1208.8729810542236,1033.630704931042,1127.4806924338206,1290.8925854285426,1190.7342934198884
2025,Enero,2025-01-01,1316.339697265625,1182.3384240822998,1069.5028120740103,1183.9789581665232,1516.3692903900337,1360.156916311698
2025,Febrero,2025-02-01,1174.059829711914,1113.2478516255328,1102.0869391971332,1323.8587349875256,1624.7969733331556,1463.0717108968524
2025,Marzo,2025-03-01,1447.0641845703126,1094.4153136656741,1112.810346527596,1211.6398985446453,1514.9610594814849,1262.4360977869428
2025,Abril,2025-04-01,1735.5377197265625,1093.861652934621,1111.8447122276184,1436.427482827106,1711.3886322819217,1599.29837434509
2025,Mayo,2025-05-01,1260.3309631347656,1132.2539132089169,1096.5519295031654,1651.2104370614788,1421.6407909221225,1642.783236034202
2025,Junio,2025-06-01,842.9754638671875,1157.381720693998,1077.1144132909208,1228.2504660027255,1065.9174569975003,1100.7237203364207
2025,Julio,2025-07-01,781.9131469726562,1206.1151695082178,1067.8927170000447,846.2440537807104,946.1546349783202,803.7345225306321
2025,Agosto,2025-08-01,623.0187744140625,1181.8517512587791,1102.9428968798602,812.9344331990407,952.6613875363055,795.980691859525
2025,Septiembre,2025-09-01,578.5125732421875,1149.7474966979378,1119.045371067242,694.7438241942573,1002.257709211789,732.1147613004705
2025,Octubre,2025-10-01,565.2350540161133,1233.7586622926844,1089.8589064343107,603.3217703836283,822.1906945034216,639.956842063186
2025,Noviembre,2025-11-01,787.1421875,1183.6733435410306,1094.2211828772104,612.2436317630412,1076.9507661716443,807.5216926151908
2025,Diciembre,2025-12-01,893.2109985351562,1241.6874718652248,1054.4796866029185,753.7372713631652,958.251040839411,885.1372373760272
